benchmark,relay,cap,obs,up,down
fixedrate,direct,340,2,4.686,204.39
fixedrate,direct,340,3,6.798,302.8
fixedrate,direct,340,4,5.94,257.988
fixedrate,direct,340,5,16.242,564.722
fixedrate,direct,340,6,15.138,587.802
fixedrate,direct,340,7,7.822,271.477
fixedrate,direct,340,8,4.686,213.474
fixedrate,direct,340,9,6.666,305.828
fixedrate,direct,340,10,8.184,375.776
fixedrate,direct,340,11,9.786,369.416
fixedrate,direct,340,12,7.788,354.276
fixedrate,direct,340,13,6.54,216.502
fixedrate,direct,340,14,6.68,265.197
fixedrate,direct,340,15,8.142,302.8
fixedrate,direct,340,16,7.128,328.538
fixedrate,direct,340,17,7.326,337.622
fixedrate,direct,340,18,6.822,260.408
fixedrate,direct,340,19,5.742,239.93
fixedrate,direct,340,20,7.92,364.934
fixedrate,direct,350,1,3.847,125.046
fixedrate,direct,350,2,6.144,204.134
fixedrate,direct,350,3,4.026,174.661
fixedrate,direct,350,4,3.63,154.428
fixedrate,direct,350,5,5.808,260.408
fixedrate,direct,350,6,6.906,246.782
fixedrate,direct,350,7,6.894,254.352
fixedrate,direct,350,8,4.026,178.652
fixedrate,direct,350,9,3.894,177.138
fixedrate,direct,350,10,5.874,266.464
fixedrate,direct,350,11,6.666,307.342
fixedrate,direct,350,12,9.156,367.902
fixedrate,direct,350,13,7.44,287.66
fixedrate,direct,350,14,6.138,283.726
fixedrate,direct,350,15,9.504,437.546
fixedrate,direct,350,16,9.372,442.088
fixedrate,direct,350,17,12.012,474.856
fixedrate,direct,350,18,6.336,275.608
fixedrate,direct,350,19,7.326,336.168
fixedrate,direct,350,20,11.232,411.868
fixedrate,direct,360,1,4.207,130.918
fixedrate,direct,360,2,5.604,178.58
fixedrate,direct,360,3,5.094,160.484
fixedrate,direct,360,4,4.645,121.186
fixedrate,direct,360,5,2.97,133.232
fixedrate,direct,360,6,3.72,121.12
fixedrate,direct,360,7,3.864,128.69
fixedrate,direct,360,8,4.854,163.512
fixedrate,direct,360,9,2.64,110.642
fixedrate,direct,360,10,4.182,145.404
fixedrate,direct,360,11,3.882,96.896
fixedrate,direct,360,12,2.502,102.952
fixedrate,direct,360,13,2.82,62.074
fixedrate,direct,360,14,2.944,77.214
fixedrate,direct,360,15,2.64,103.125
fixedrate,direct,360,16,3.762,122.634
fixedrate,direct,360,17,2.64,118.092
fixedrate,direct,360,18,3.06,86.298
fixedrate,direct,360,19,3.432,148.979
fixedrate,direct,360,20,4.068,181.8
fixedrate,direct,370,1,3.091,101.712
fixedrate,direct,370,2,4.644,153.596
fixedrate,direct,370,3,3.0,75.636
fixedrate,direct,370,4,2.742,94.476
fixedrate,direct,370,5,3.762,122.634
fixedrate,direct,370,6,4.266,127.176
fixedrate,direct,370,7,4.05,110.522
fixedrate,direct,370,8,2.394,72.672
fixedrate,direct,370,9,2.958,87.812
fixedrate,direct,370,10,2.706,115.551
fixedrate,direct,370,11,3.542,118.396
fixedrate,direct,370,12,3.102,139.288
fixedrate,direct,370,13,3.228,136.26
fixedrate,direct,370,14,3.287,106.006
fixedrate,direct,370,15,5.05,141.008
fixedrate,direct,370,16,3.144,101.438
fixedrate,direct,370,17,3.814,94.362
fixedrate,direct,370,18,2.046,80.242
fixedrate,direct,370,19,3.42,109.008
fixedrate,direct,370,20,2.904,125.662
fixedrate,direct,380,1,3.763,96.722
fixedrate,direct,380,2,3.168,127.176
fixedrate,direct,380,3,2.64,109.074
fixedrate,direct,380,4,3.762,172.596
fixedrate,direct,380,5,4.752,219.53
fixedrate,direct,380,6,7.096,251.324
fixedrate,direct,380,7,6.762,236.184
fixedrate,direct,380,8,3.834,116.578
fixedrate,direct,380,9,3.066,97.543
fixedrate,direct,380,10,3.3,145.991
fixedrate,direct,380,11,4.356,196.82
fixedrate,direct,380,12,6.996,319.454
fixedrate,direct,380,13,11.526,310.37
fixedrate,direct,380,14,4.29,194.4
fixedrate,direct,380,15,6.138,283.118
fixedrate,direct,380,16,8.484,313.398
fixedrate,direct,380,17,9.302,293.716
fixedrate,direct,380,18,4.092,174.17
fixedrate,direct,380,19,5.246,177.198
fixedrate,direct,380,20,4.686,210.506
fixedrate,direct,390,1,3.943,100.51
fixedrate,direct,390,2,2.64,122.634
fixedrate,direct,390,3,3.564,155.942
fixedrate,direct,390,4,4.815,201.428
fixedrate,direct,390,5,5.61,249.81
fixedrate,direct,390,6,8.13,275.38
fixedrate,direct,390,7,6.6,299.772
fixedrate,direct,390,8,4.29,196.82
fixedrate,direct,390,9,6.996,324.056
fixedrate,direct,390,10,8.118,372.504
fixedrate,direct,390,11,9.894,368.211
fixedrate,direct,390,12,8.118,375.472
fixedrate,direct,390,13,6.54,222.558
fixedrate,direct,390,14,6.072,275.548
fixedrate,direct,390,15,7.944,293.716
fixedrate,direct,390,16,6.664,228.614
fixedrate,direct,390,17,5.478,251.324
fixedrate,direct,390,18,7.062,257.38
fixedrate,direct,390,19,4.422,183.254
fixedrate,direct,390,20,6.534,301.346
fixedrate,direct,400,1,3.631,119.026
fixedrate,direct,400,2,5.144,160.484
fixedrate,direct,400,3,3.894,171.082
fixedrate,direct,400,4,3.84,171.69
fixedrate,direct,400,5,5.77,204.206
fixedrate,direct,400,6,5.682,202.164
fixedrate,direct,400,7,4.95,227.1
fixedrate,direct,400,8,5.616,202.876
fixedrate,direct,400,9,5.972,160.484
fixedrate,direct,400,10,3.564,165.026
fixedrate,direct,400,11,4.092,188.04
fixedrate,direct,400,12,5.423,224.436
fixedrate,direct,400,13,4.62,205.904
fixedrate,direct,400,14,6.795,296.81
fixedrate,direct,400,15,11.13,392.356
fixedrate,direct,400,16,9.306,427.181
fixedrate,direct,400,17,9.57,437.546
fixedrate,direct,400,18,6.402,293.716
fixedrate,direct,400,19,9.834,450.129
fixedrate,direct,400,20,11.418,526.872
fixedrate,direct,410,1,4.549,143.87
fixedrate,direct,410,2,4.908,166.164
fixedrate,direct,410,3,3.96,175.624
fixedrate,direct,410,4,4.092,183.194
fixedrate,direct,410,5,6.696,233.766
fixedrate,direct,410,6,5.148,235.221
fixedrate,direct,410,7,4.488,207.418
fixedrate,direct,410,8,4.818,216.717
fixedrate,direct,410,9,7.248,259.496
fixedrate,direct,410,10,7.236,267.978
fixedrate,direct,410,11,5.148,234.67
fixedrate,direct,410,12,6.96,255.866
fixedrate,direct,410,13,4.092,184.708
fixedrate,direct,410,14,6.546,189.858
fixedrate,direct,410,15,4.752,186.222
fixedrate,direct,410,16,4.956,166.54
fixedrate,direct,410,17,4.224,163.512
fixedrate,direct,410,18,3.234,143.89
fixedrate,direct,410,19,5.208,198.394
fixedrate,direct,410,20,4.554,198.394
fixedrate,direct,420,1,3.361,110.966
fixedrate,direct,420,2,5.118,170.634
fixedrate,direct,420,3,4.29,195.306
fixedrate,direct,420,4,4.981,212.026
fixedrate,direct,420,5,5.544,251.324
fixedrate,direct,420,6,6.816,301.286
fixedrate,direct,420,7,6.714,228.614
fixedrate,direct,420,8,6.204,279.063
fixedrate,direct,420,9,7.26,269.612
fixedrate,direct,420,10,6.666,305.888
fixedrate,direct,420,11,6.204,284.632
fixedrate,direct,420,12,6.6,301.286
fixedrate,direct,420,13,8.646,330.052
fixedrate,direct,420,14,6.624,249.81
fixedrate,direct,420,15,6.84,228.614
fixedrate,direct,420,16,6.138,277.062
fixedrate,direct,420,17,6.6,302.8
fixedrate,direct,420,18,6.798,313.398
fixedrate,direct,420,19,7.062,319.574
fixedrate,direct,420,20,6.534,298.318
fixedrate,direct,430,1,4.171,134.986
fixedrate,direct,430,2,5.284,175.624
fixedrate,direct,430,3,5.196,183.572
fixedrate,direct,430,4,4.158,188.344
fixedrate,direct,430,5,5.154,135.044
fixedrate,direct,430,6,2.442,109.008
fixedrate,direct,430,7,4.446,149.886
fixedrate,direct,430,8,3.696,169.568
fixedrate,direct,430,9,6.012,169.568
fixedrate,direct,430,10,3.3,98.41
fixedrate,direct,430,11,3.696,119.91
fixedrate,direct,430,12,2.706,121.12
fixedrate,direct,430,13,4.224,169.568
fixedrate,direct,430,14,5.817,148.438
fixedrate,direct,430,15,3.086,84.99
fixedrate,direct,430,16,2.574,107.494
fixedrate,direct,430,17,3.708,124.148
fixedrate,direct,430,18,4.11,130.419
fixedrate,direct,430,19,3.168,132.356
fixedrate,direct,430,20,2.484,105.029
fixedrate,direct,440,1,2.869,92.694
fixedrate,direct,440,2,4.884,210.446
fixedrate,direct,440,3,8.442,310.756
fixedrate,direct,440,4,7.59,330.052
fixedrate,direct,440,5,4.554,208.932
fixedrate,direct,440,6,7.074,254.352
fixedrate,direct,440,7,7.194,331.566
fixedrate,direct,440,8,9.923,350.928
fixedrate,direct,440,9,8.052,370.93
fixedrate,direct,440,10,5.544,252.838
fixedrate,direct,440,11,6.978,289.174
fixedrate,direct,440,12,8.262,334.594
fixedrate,direct,440,13,13.185,380.915
fixedrate,direct,440,14,11.034,407.375
fixedrate,direct,440,15,6.336,293.808
fixedrate,direct,440,16,7.824,286.146
fixedrate,direct,440,17,7.196,296.744
fixedrate,direct,440,18,6.992,210.506
fixedrate,direct,440,19,4.224,189.733
fixedrate,direct,440,20,6.024,202.936
fixedrate,direct,450,1,3.96,112.376
fixedrate,direct,450,2,4.884,213.474
fixedrate,direct,450,3,8.118,363.36
fixedrate,direct,450,4,11.999,430.042
fixedrate,direct,450,5,9.353,349.737
fixedrate,direct,450,6,13.284,508.704
fixedrate,direct,450,7,10.626,489.022
fixedrate,direct,450,8,11.694,445.116
fixedrate,direct,450,9,9.24,422.937
fixedrate,direct,450,10,7.854,361.906
fixedrate,direct,450,11,11.826,457.288
fixedrate,direct,450,12,9.834,452.686
fixedrate,direct,450,13,11.112,352.762
fixedrate,direct,450,14,6.732,310.37
fixedrate,direct,450,15,6.978,213.474
fixedrate,direct,450,16,3.96,163.512
fixedrate,direct,450,17,5.28,240.726
fixedrate,direct,450,18,5.94,267.978
fixedrate,direct,450,19,6.6,302.86
fixedrate,direct,450,20,8.502,281.664
fixedrate,direct,460,1,3.193,102.038
fixedrate,direct,460,2,4.62,199.848
fixedrate,direct,460,3,7.524,331.566
fixedrate,direct,460,4,9.834,429.573
fixedrate,direct,460,5,11.922,419.378
fixedrate,direct,460,6,9.258,333.08
fixedrate,direct,460,7,14.892,573.806
fixedrate,direct,460,8,14.681,606.762
fixedrate,direct,460,9,15.42,604.086
fixedrate,direct,460,10,8.976,410.294
fixedrate,direct,460,11,7.194,333.384
fixedrate,direct,460,12,10.525,462.525
fixedrate,direct,460,13,15.09,585.918
fixedrate,direct,460,14,11.731,526.938
fixedrate,direct,460,15,9.834,455.714
fixedrate,direct,460,16,13.23,504.162
fixedrate,direct,460,17,10.296,467.826
fixedrate,direct,460,18,12.744,487.508
fixedrate,direct,460,19,10.824,498.106
fixedrate,direct,460,20,7.998,274.034
fixedrate,direct,470,1,3.679,117.218
fixedrate,direct,470,2,4.818,207.418
fixedrate,direct,470,3,7.392,336.108
fixedrate,direct,470,4,12.066,516.274
fixedrate,direct,470,5,12.626,331.566
fixedrate,direct,470,6,8.982,349.734
fixedrate,direct,470,7,8.019,258.8
fixedrate,direct,470,8,5.748,198.334
fixedrate,direct,470,9,5.082,227.1
fixedrate,direct,470,10,6.004,198.334
fixedrate,direct,470,11,5.274,178.652
fixedrate,direct,470,12,4.158,187.736
fixedrate,direct,470,13,5.208,180.166
fixedrate,direct,470,14,4.998,194.4
fixedrate,direct,470,15,4.026,154.428
fixedrate,direct,470,16,3.918,131.718
fixedrate,direct,470,17,3.102,138.245
fixedrate,direct,470,18,4.848,148.432
fixedrate,direct,470,19,3.424,96.956
fixedrate,direct,470,20,2.574,109.068
fixedrate,direct,480,1,2.875,97.94
fixedrate,direct,480,2,5.28,234.67
fixedrate,direct,480,3,8.052,363.36
fixedrate,direct,480,4,13.297,582.956
fixedrate,direct,480,5,19.968,616.198
fixedrate,direct,480,6,13.398,604.086
fixedrate,direct,480,7,13.86,630.778
fixedrate,direct,480,8,11.088,503.394
fixedrate,direct,480,9,10.956,502.434
fixedrate,direct,480,10,11.088,503.434
fixedrate,direct,480,11,10.89,502.314
fixedrate,direct,480,12,11.088,504.315
fixedrate,direct,480,13,11.088,502.347
fixedrate,direct,480,14,11.022,503.828
fixedrate,direct,480,15,10.956,501.86
fixedrate,direct,480,16,13.08,528.36
fixedrate,direct,480,17,11.42,502.182
fixedrate,direct,480,18,11.088,504.358
fixedrate,direct,480,19,11.022,503.948
fixedrate,direct,480,20,10.956,502.374
fixedrate,direct,490,1,4.291,135.841
fixedrate,direct,490,2,4.818,207.857
fixedrate,direct,490,3,8.328,280.593
fixedrate,direct,490,4,6.6,306.436
fixedrate,direct,490,5,8.436,255.866
fixedrate,direct,490,6,6.222,227.1
fixedrate,direct,490,7,5.7,230.615
fixedrate,direct,490,8,4.998,201.362
fixedrate,direct,490,9,5.478,251.324
fixedrate,direct,490,10,6.156,222.558
fixedrate,direct,490,11,5.496,146.858
fixedrate,direct,490,12,3.45,94.172
fixedrate,direct,490,13,2.904,128.69
fixedrate,direct,490,14,3.979,175.69
fixedrate,direct,490,15,5.336,183.4
fixedrate,direct,490,16,3.366,149.886
fixedrate,direct,490,17,3.366,152.914
fixedrate,direct,490,18,4.81,168.054
fixedrate,direct,490,19,4.158,190.824
fixedrate,direct,490,20,4.668,155.942
fixedrate,direct,500,1,2.461,73.612
fixedrate,direct,500,2,5.093,198.16
fixedrate,direct,500,3,6.798,296.744
fixedrate,direct,500,4,10.986,382.986
fixedrate,direct,500,5,7.92,360.332
fixedrate,direct,500,6,6.27,286.146
fixedrate,direct,500,7,8.8,231.884
fixedrate,direct,500,8,5.478,255.866
fixedrate,direct,500,9,6.762,240.792
fixedrate,direct,500,10,5.94,269.492
fixedrate,direct,500,11,3.564,158.97
fixedrate,direct,500,12,4.554,210.446
fixedrate,direct,500,13,7.668,280.09
fixedrate,direct,500,14,6.996,256.474
fixedrate,direct,500,15,5.656,199.848
fixedrate,direct,500,16,3.894,177.138
fixedrate,direct,500,17,3.762,166.54
fixedrate,direct,500,18,5.874,265.01
fixedrate,direct,500,19,6.732,307.402
fixedrate,direct,500,20,8.25,380.074
fixedrate,direct,510,1,4.081,128.706
fixedrate,direct,510,2,3.96,178.956
fixedrate,direct,510,3,7.392,331.566
fixedrate,direct,510,4,12.075,522.396
fixedrate,direct,510,5,17.972,611.656
fixedrate,direct,510,6,12.12,458.246
fixedrate,direct,510,7,10.494,490.536
fixedrate,direct,510,8,10.758,496.592
fixedrate,direct,510,9,13.662,632.912
fixedrate,direct,510,10,15.114,694.986
fixedrate,direct,510,11,12.204,461.83
fixedrate,direct,510,12,12.324,359.38
fixedrate,direct,510,13,9.702,437.546
fixedrate,direct,510,14,14.652,682.814
fixedrate,direct,510,15,15.39,593.488
fixedrate,direct,510,16,7.59,354.276
fixedrate,direct,510,17,8.184,377.089
fixedrate,direct,510,18,9.834,451.172
fixedrate,direct,510,19,12.936,596.576
fixedrate,direct,510,20,14.058,651.08
fixedrate,direct,520,1,4.783,148.548
fixedrate,direct,520,2,3.762,165.026
fixedrate,direct,520,3,7.26,327.024
fixedrate,direct,520,4,10.23,453.294
fixedrate,direct,520,5,13.884,398.182
fixedrate,direct,520,6,7.524,339.136
fixedrate,direct,520,7,10.164,466.98
fixedrate,direct,520,8,15.642,716.506
fixedrate,direct,520,9,15.708,724.175
fixedrate,direct,520,10,14.762,608.688
fixedrate,direct,520,11,10.654,378.408
fixedrate,direct,520,12,8.448,389.402
fixedrate,direct,520,13,13.53,620.74
fixedrate,direct,520,14,16.075,735.87
fixedrate,direct,520,15,14.19,649.836
fixedrate,direct,520,16,11.988,406.54
fixedrate,direct,520,17,7.986,366.388
fixedrate,direct,520,18,10.758,498.166
fixedrate,direct,520,19,15.774,723.967
fixedrate,direct,520,20,15.642,716.823
fixedrate,direct,530,1,4.381,124.548
fixedrate,direct,530,2,2.904,125.754
fixedrate,direct,530,3,5.424,184.708
fixedrate,direct,530,4,5.736,199.848
fixedrate,direct,530,5,7.318,205.923
fixedrate,direct,530,6,4.602,154.428
fixedrate,direct,530,7,3.432,145.344
fixedrate,direct,530,8,5.538,188.039
fixedrate,direct,530,9,5.82,192.338
fixedrate,direct,530,10,4.098,109.068
fixedrate,direct,530,11,3.156,98.41
fixedrate,direct,530,12,3.54,113.55
fixedrate,direct,530,13,2.838,125.662
fixedrate,direct,530,14,4.446,153.522
fixedrate,direct,530,15,11.775,213.87
fixedrate,direct,530,16,1.98,83.27
fixedrate,direct,530,17,2.904,130.347
fixedrate,direct,530,18,4.29,193.792
fixedrate,direct,530,19,5.562,210.446
fixedrate,direct,530,20,5.082,206.309
fixedrate,direct,540,1,3.427,113.926
fixedrate,direct,540,2,4.884,213.838
fixedrate,direct,540,3,9.682,317.519
fixedrate,direct,540,4,7.595,265.016
fixedrate,direct,540,5,5.676,261.922
fixedrate,direct,540,6,6.6,304.314
fixedrate,direct,540,7,7.35,266.464
fixedrate,direct,540,8,6.786,243.754
fixedrate,direct,540,9,5.61,257.38
fixedrate,direct,540,10,6.006,275.548
fixedrate,direct,540,11,7.002,284.632
fixedrate,direct,540,12,6.882,272.64
fixedrate,direct,540,13,5.874,265.01
fixedrate,direct,540,14,7.152,252.838
fixedrate,direct,540,15,5.346,245.338
fixedrate,direct,540,16,7.194,328.538
fixedrate,direct,540,17,5.676,254.352
fixedrate,direct,540,18,6.192,205.904
fixedrate,direct,540,19,6.93,304.034
fixedrate,direct,540,20,8.556,390.672
fixedrate,direct,550,1,9.462,176.227
fixedrate,direct,550,2,26.084,312.589
fixedrate,direct,550,3,17.927,359.319
fixedrate,direct,550,4,4.434,198.226
fixedrate,direct,550,5,5.148,237.698
fixedrate,direct,550,6,6.675,289.372
fixedrate,direct,550,7,7.353,322.68
fixedrate,direct,550,8,7.605,207.831
fixedrate,direct,550,9,6.033,149.073
fixedrate,direct,550,10,3.96,166.567
fixedrate,direct,550,11,4.422,202.876
fixedrate,direct,550,12,5.412,242.544
fixedrate,direct,550,13,4.95,224.072
fixedrate,direct,550,14,5.909,263.502
fixedrate,direct,550,15,14.0,616.404
fixedrate,direct,550,16,16.434,722.178
fixedrate,direct,550,17,26.644,684.8
fixedrate,direct,550,18,17.448,584.404
fixedrate,direct,550,19,9.438,434.518
fixedrate,direct,550,20,15.866,358.818
fixedrate,direct,560,1,4.099,124.664
fixedrate,direct,560,2,4.224,174.11
fixedrate,direct,560,3,6.138,274.034
fixedrate,direct,560,4,10.854,351.938
fixedrate,direct,560,5,7.758,304.314
fixedrate,direct,560,6,6.798,310.37
fixedrate,direct,560,7,8.396,302.8
fixedrate,direct,560,8,5.478,251.324
fixedrate,direct,560,9,7.92,364.874
fixedrate,direct,560,10,7.788,358.818
fixedrate,direct,560,11,8.382,384.556
fixedrate,direct,560,12,9.834,452.686
fixedrate,direct,560,13,11.748,545.04
fixedrate,direct,560,14,13.266,597.124
fixedrate,direct,560,15,16.542,640.422
fixedrate,direct,560,16,22.324,640.422
fixedrate,direct,560,17,13.728,631.338
fixedrate,direct,560,18,21.038,678.272
fixedrate,direct,560,19,16.284,581.376
fixedrate,direct,560,20,12.144,560.18
fixedrate,direct,570,1,5.245,161.16
fixedrate,direct,570,2,3.894,165.39
fixedrate,direct,570,3,6.798,302.86
fixedrate,direct,570,4,11.747,508.77
fixedrate,direct,570,5,15.708,702.496
fixedrate,direct,570,6,16.104,716.122
fixedrate,direct,570,7,16.326,720.664
fixedrate,direct,570,8,23.294,673.375
fixedrate,direct,570,9,12.144,556.994
fixedrate,direct,570,10,20.614,592.292
fixedrate,direct,570,11,12.606,577.816
fixedrate,direct,570,12,12.078,558.726
fixedrate,direct,570,13,12.012,554.184
fixedrate,direct,570,14,17.148,611.656
fixedrate,direct,570,15,13.998,496.592
fixedrate,direct,570,16,10.098,466.312
fixedrate,direct,570,17,11.352,526.872
fixedrate,direct,570,18,12.672,585.918
fixedrate,direct,570,19,10.032,460.256
fixedrate,direct,570,20,10.098,467.826
fixedrate,direct,580,1,5.521,173.372
fixedrate,direct,580,2,5.658,211.406
fixedrate,direct,580,3,10.491,364.862
fixedrate,direct,580,4,9.768,434.131
fixedrate,direct,580,5,13.332,588.946
fixedrate,direct,580,6,16.368,720.664
fixedrate,direct,580,7,19.18,720.664
fixedrate,direct,580,8,24.054,685.842
fixedrate,direct,580,9,15.246,700.121
fixedrate,direct,580,10,13.662,614.22
fixedrate,direct,580,11,14.058,635.108
fixedrate,direct,580,12,16.38,604.246
fixedrate,direct,580,13,12.54,573.806
fixedrate,direct,580,14,12.461,566.302
fixedrate,direct,580,15,12.474,573.806
fixedrate,direct,580,16,10.758,493.564
fixedrate,direct,580,17,8.91,413.322
fixedrate,direct,580,18,14.238,473.882
fixedrate,direct,580,19,9.983,435.342
fixedrate,direct,580,20,9.696,434.84
fixedrate,direct,590,1,11.324,157.567
fixedrate,direct,590,2,4.752,204.39
fixedrate,direct,590,3,6.336,278.576
fixedrate,direct,590,4,6.468,290.688
fixedrate,direct,590,5,11.682,516.274
fixedrate,direct,590,6,20.112,707.752
fixedrate,direct,590,7,15.774,725.206
fixedrate,direct,590,8,15.468,537.47
fixedrate,direct,590,9,8.418,360.332
fixedrate,direct,590,10,15.774,722.757
fixedrate,direct,590,11,16.038,733.345
fixedrate,direct,590,12,16.896,575.38
fixedrate,direct,590,13,8.748,372.268
fixedrate,direct,590,14,8.475,385.35
fixedrate,direct,590,15,15.444,710.066
fixedrate,direct,590,16,15.774,734.29
fixedrate,direct,590,17,16.288,665.405
fixedrate,direct,590,18,12.018,395.529
fixedrate,direct,590,19,8.382,389.098
fixedrate,direct,590,20,14.889,576.935
fixedrate,direct,600,1,5.629,175.086
fixedrate,direct,600,2,5.508,166.904
fixedrate,direct,600,3,3.57,124.208
fixedrate,direct,600,4,3.661,152.98
fixedrate,direct,600,5,4.29,198.334
fixedrate,direct,600,6,5.28,234.67
fixedrate,direct,600,7,6.756,282.027
fixedrate,direct,600,8,7.428,180.166
fixedrate,direct,600,9,5.88,210.446
fixedrate,direct,600,10,5.34,182.119
fixedrate,direct,600,11,4.026,182.227
fixedrate,direct,600,12,5.286,163.572
fixedrate,direct,600,13,3.468,127.236
fixedrate,direct,600,14,3.63,160.484
fixedrate,direct,600,15,4.878,169.568
fixedrate,direct,600,16,4.686,208.932
fixedrate,direct,600,17,5.733,234.744
fixedrate,direct,600,18,9.597,292.47
fixedrate,direct,600,19,11.353,290.331
fixedrate,direct,600,20,4.818,210.446
fixedrate,direct,610,1,3.301,104.518
fixedrate,direct,610,2,5.016,216.562
fixedrate,direct,610,3,7.656,342.224
fixedrate,direct,610,4,11.22,501.742
fixedrate,direct,610,5,15.246,682.814
fixedrate,direct,610,6,18.582,687.356
fixedrate,direct,610,7,17.748,661.618
fixedrate,direct,610,8,16.266,573.806
fixedrate,direct,610,9,10.452,475.396
fixedrate,direct,610,10,15.766,516.658
fixedrate,direct,610,11,17.411,359.804
fixedrate,direct,610,12,15.233,429.025
fixedrate,direct,610,13,14.893,467.089
fixedrate,direct,610,14,11.801,534.508
fixedrate,direct,610,15,10.964,497.041
fixedrate,direct,610,16,7.26,330.052
fixedrate,direct,610,17,10.764,393.64
fixedrate,direct,610,18,10.824,499.62
fixedrate,direct,610,19,11.55,527.359
fixedrate,direct,610,20,10.172,307.015
fixedrate,direct,620,1,3.937,112.602
fixedrate,direct,620,2,4.488,192.717
fixedrate,direct,620,3,7.524,331.566
fixedrate,direct,620,4,11.418,505.676
fixedrate,direct,620,5,15.644,509.032
fixedrate,direct,620,6,8.778,370.93
fixedrate,direct,620,7,9.699,416.803
fixedrate,direct,620,8,15.696,579.862
fixedrate,direct,620,9,14.718,673.73
fixedrate,direct,620,10,13.939,469.424
fixedrate,direct,620,11,11.484,406.776
fixedrate,direct,620,12,14.648,625.642
fixedrate,direct,620,13,16.433,694.472
fixedrate,direct,620,14,26.607,696.004
fixedrate,direct,620,15,14.839,551.715
fixedrate,direct,620,16,19.398,417.18
fixedrate,direct,620,17,16.864,517.755
fixedrate,direct,620,18,13.613,555.348
fixedrate,direct,620,19,15.278,550.063
fixedrate,direct,620,20,14.335,526.515
fixedrate,direct,630,1,8.37,184.309
fixedrate,direct,630,2,13.53,582.133
fixedrate,direct,630,3,12.672,566.375
fixedrate,direct,630,4,9.425,416.416
fixedrate,direct,630,5,9.738,314.912
fixedrate,direct,630,6,9.834,452.686
fixedrate,direct,630,7,13.662,628.31
fixedrate,direct,630,8,13.596,628.31
fixedrate,direct,630,9,13.794,634.366
fixedrate,direct,630,10,11.761,389.643
fixedrate,direct,630,11,8.514,389.218
fixedrate,direct,630,12,14.124,649.566
fixedrate,direct,630,13,13.992,643.45
fixedrate,direct,630,14,14.124,654.048
fixedrate,direct,630,15,13.632,495.078
fixedrate,direct,630,16,10.234,357.985
fixedrate,direct,630,17,13.068,588.275
fixedrate,direct,630,18,16.028,692.971
fixedrate,direct,630,19,17.007,719.858
fixedrate,direct,630,20,14.246,535.956
fixedrate,direct,640,1,4.045,123.046
fixedrate,direct,640,2,4.69,200.04
fixedrate,direct,640,3,8.653,319.045
fixedrate,direct,640,4,9.522,229.038
fixedrate,direct,640,5,4.32,142.905
fixedrate,direct,640,6,6.367,229.719
fixedrate,direct,640,7,6.772,217.922
fixedrate,direct,640,8,8.854,283.066
fixedrate,direct,640,9,6.684,272.179
fixedrate,direct,640,10,4.056,121.12
fixedrate,direct,640,11,5.61,255.866
fixedrate,direct,640,12,7.308,216.502
fixedrate,direct,640,13,4.92,183.498
fixedrate,direct,640,14,4.059,159.251
fixedrate,direct,640,15,4.074,129.193
fixedrate,direct,640,16,3.3,148.372
fixedrate,direct,640,17,4.224,193.792
fixedrate,direct,640,18,5.288,222.83
fixedrate,direct,640,19,5.61,257.38
fixedrate,direct,640,20,7.005,226.741
fixedrate,direct,650,1,3.127,91.232
fixedrate,direct,650,2,4.356,196.82
fixedrate,direct,650,3,8.406,298.258
fixedrate,direct,650,4,7.392,328.538
fixedrate,direct,650,5,7.638,264.898
fixedrate,direct,650,6,5.874,269.492
fixedrate,direct,650,7,8.111,274.203
fixedrate,direct,650,8,6.666,305.828
fixedrate,direct,650,9,5.94,269.492
fixedrate,direct,650,10,7.012,180.311
fixedrate,direct,650,11,5.556,199.848
fixedrate,direct,650,12,5.484,192.278
fixedrate,direct,650,13,4.752,219.53
fixedrate,direct,650,14,7.651,229.288
fixedrate,direct,650,15,4.272,159.884
fixedrate,direct,650,16,6.618,243.754
fixedrate,direct,650,17,6.156,219.53
fixedrate,direct,650,18,5.442,170.098
fixedrate,direct,650,19,4.008,168.317
fixedrate,direct,650,20,3.484,87.812
fixedrate,direct,660,1,3.037,102.05
fixedrate,direct,660,2,4.686,207.478
fixedrate,direct,660,3,7.92,357.608
fixedrate,direct,660,4,13.039,470.92
fixedrate,direct,660,5,12.144,490.08
fixedrate,direct,660,6,7.854,361.846
fixedrate,direct,660,7,12.078,557.152
fixedrate,direct,660,8,14.384,642.434
fixedrate,direct,660,9,14.425,660.273
fixedrate,direct,660,10,15.048,691.898
fixedrate,direct,660,11,15.266,526.932
fixedrate,direct,660,12,8.514,387.644
fixedrate,direct,660,13,12.738,587.492
fixedrate,direct,660,14,14.851,670.937
fixedrate,direct,660,15,13.044,357.304
fixedrate,direct,660,16,6.732,309.359
fixedrate,direct,660,17,11.399,499.821
fixedrate,direct,660,18,12.474,557.738
fixedrate,direct,660,19,12.606,578.348
fixedrate,direct,660,20,12.437,346.69
fixedrate,direct,670,1,5.097,112.784
fixedrate,direct,670,2,3.11,122.9
fixedrate,direct,670,3,3.762,169.628
fixedrate,direct,670,4,4.554,204.998
fixedrate,direct,670,5,5.354,231.848
fixedrate,direct,670,6,6.27,278.576
